OrderID,Date,Region,Category,Product,Quantity,Sales,Profit
ORD-01823,2023-01-15,East,Furniture,Tables,3,913.82,373.36
ORD-00609,2023-01-16,Central,Office Supplies,Art Supplies,2,69.66,36.47
ORD-01068,2023-01-16,South,Office Supplies,Binders,2,38.74,22.99
ORD-00133,2023-01-19,South,Furniture,Tables,2,503.95,189.12
ORD-00559,2023-01-19,Central,Office Supplies,Art Supplies,4,157.09,86.14
ORD-01954,2023-01-20,West,Office Supplies,Paper,8,305.38,183.86
ORD-00074,2023-01-21,Central,Office Supplies,Paper,2,31.26,19.33
ORD-00642,2023-01-21,West,Technology,Accessories,2,1393.57,485.14
ORD-00522,2023-01-22,Central,Furniture,Chairs,6,2967.79,993.92
ORD-00928,2023-01-22,Central,Technology,Accessories,4,2572.83,797.0
ORD-01479,2023-01-22,West,Office Supplies,Paper,5,209.93,98.44
ORD-01760,2023-01-22,South,Furniture,Chairs,2,754.05,263.48
ORD-00098,2023-01-23,East,Technology,Accessories,7,3393.89,768.3
ORD-00883,2023-01-23,West,Technology,Laptops,8,2594.16,801.37
ORD-00921,2023-01-23,East,Technology,Accessories,8,2781.29,606.37
ORD-01422,2023-01-23,West,Office Supplies,Paper,8,336.03,122.73
ORD-01539,2023-01-23,South,Furniture,Tables,8,1444.55,402.45
ORD-01995,2023-01-23,Central,Technology,Accessories,8,3409.96,755.36
ORD-00524,2023-01-24,West,Office Supplies,Binders,1,26.52,15.07
ORD-01425,2023-01-24,East,Office Supplies,Paper,6,108.48,51.52
ORD-01873,2023-01-25,East,Furniture,Tables,3,1025.31,444.03
ORD-01640,2023-01-26,Central,Furniture,Bookcases,3,1305.06,586.69
ORD-00869,2023-01-28,West,Furniture,Chairs,3,1438.82,646.7
ORD-00572,2023-01-29,South,Technology,Laptops,2,1868.12,618.64
ORD-00100,2023-01-30,South,Furniture,Tables,1,291.8,122.35
ORD-01384,2023-01-30,South,Technology,Phones,9,5464.82,1148.99
ORD-00755,2023-01-31,Central,Office Supplies,Art Supplies,2,58.48,25.71
ORD-01310,2023-01-31,Central,Furniture,Chairs,9,4485.84,1274.03
ORD-01519,2023-01-31,West,Office Supplies,Paper,2,34.81,14.61
ORD-00859,2023-02-01,West,Technology,Laptops,8,3384.84,862.12
ORD-00060,2023-02-02,South,Office Supplies,Binders,7,151.31,68.93
ORD-00194,2023-02-02,West,Office Supplies,Art Supplies,6,207.42,124.28
ORD-00734,2023-02-02,West,Technology,Accessories,1,878.78,272.62
ORD-00286,2023-02-03,East,Technology,Accessories,6,4962.41,1427.47
ORD-01179,2023-02-03,East,Technology,Accessories,8,4190.58,1471.77
ORD-01195,2023-02-03,West,Office Supplies,Art Supplies,1,28.05,12.35
ORD-00630,2023-02-04,Central,Furniture,Bookcases,6,2717.53,1084.44
ORD-00989,2023-02-05,West,Furniture,Bookcases,7,3157.78,869.24
ORD-01718,2023-02-06,East,Office Supplies,Binders,6,240.2,108.37
ORD-01979,2023-02-06,East,Technology,Phones,3,2125.64,731.76
ORD-00236,2023-02-07,West,Technology,Laptops,7,4435.56,1422.91
ORD-01146,2023-02-07,South,Furniture,Bookcases,6,3036.14,1129.37
ORD-01854,2023-02-08,Central,Furniture,Tables,2,582.0,166.42
ORD-01678,2023-02-09,East,Furniture,Chairs,3,1578.09,717.58
ORD-01922,2023-02-09,West,Technology,Laptops,5,4551.84,1110.39
ORD-00456,2023-02-10,West,Furniture,Bookcases,5,1565.31,653.46
ORD-00560,2023-02-10,East,Office Supplies,Art Supplies,6,111.76,52.47
ORD-01024,2023-02-10,Central,Office Supplies,Binders,8,130.28,77.55
ORD-01118,2023-02-10,West,Office Supplies,Art Supplies,1,33.68,19.53
ORD-01684,2023-02-10,East,Technology,Phones,7,2944.9,994.24
ORD-00208,2023-02-11,West,Technology,Phones,9,7917.82,1664.47
ORD-01480,2023-02-11,Central,Furniture,Tables,6,1288.74,573.57
ORD-00745,2023-02-12,West,Office Supplies,Binders,6,242.82,114.22
ORD-00120,2023-02-13,South,Furniture,Bookcases,9,3013.93,1129.88
ORD-00596,2023-02-14,East,Technology,Phones,8,5117.4,1573.19
ORD-01233,2023-02-14,Central,Office Supplies,Art Supplies,2,85.66,35.18
ORD-01996,2023-02-14,South,Technology,Accessories,8,4950.99,1600.93
ORD-00625,2023-02-16,East,Office Supplies,Paper,7,237.84,123.85
ORD-01241,2023-02-17,Central,Furniture,Bookcases,3,815.62,252.99
ORD-01295,2023-02-17,West,Technology,Phones,9,3688.82,944.1
ORD-00382,2023-02-18,Central,Technology,Phones,9,3710.63,781.12
ORD-01289,2023-02-19,South,Technology,Laptops,6,3112.5,826.62
ORD-00833,2023-02-20,South,Technology,Accessories,5,4547.01,1150.54
ORD-00610,2023-02-22,East,Furniture,Tables,9,2869.77,947.91
ORD-01124,2023-02-22,Central,Technology,Phones,9,6559.9,1434.42
ORD-01767,2023-02-22,East,Technology,Laptops,7,2346.56,572.83
ORD-00158,2023-02-23,Central,Office Supplies,Paper,2,58.73,34.69
ORD-00887,2023-02-23,East,Furniture,Bookcases,1,532.97,231.44
ORD-01524,2023-02-23,Central,Furniture,Bookcases,8,2825.95,785.81
ORD-01218,2023-02-24,East,Furniture,Bookcases,6,1697.02,683.75
ORD-01400,2023-02-24,South,Furniture,Bookcases,9,2490.81,777.76
ORD-00388,2023-02-25,South,Furniture,Tables,9,2793.51,785.59
ORD-00945,2023-02-25,Central,Furniture,Bookcases,2,934.48,425.82
ORD-01830,2023-02-25,West,Technology,Accessories,4,2942.92,802.53
ORD-01970,2023-02-25,South,Office Supplies,Art Supplies,9,131.48,55.96
ORD-01063,2023-02-26,West,Technology,Phones,6,5582.78,1566.95
ORD-00205,2023-02-27,West,Office Supplies,Paper,3,60.75,27.05
ORD-00536,2023-02-28,West,Technology,Laptops,3,2500.1,614.38
ORD-01260,2023-03-01,West,Technology,Phones,8,6032.04,1869.41
ORD-01388,2023-03-01,South,Office Supplies,Art Supplies,7,189.18,81.05
ORD-01496,2023-03-01,South,Office Supplies,Binders,5,135.3,80.66
ORD-01186,2023-03-02,West,Technology,Accessories,5,3214.79,970.43
ORD-00156,2023-03-03,West,Technology,Laptops,1,581.53,170.42
ORD-00877,2023-03-03,South,Furniture,Tables,4,1054.6,316.81
ORD-01271,2023-03-03,East,Furniture,Tables,7,2355.81,822.6
ORD-01569,2023-03-03,East,Furniture,Tables,5,1392.98,614.48
ORD-01756,2023-03-03,Central,Furniture,Chairs,9,4599.14,1341.44
ORD-01926,2023-03-03,Central,Office Supplies,Paper,1,18.16,8.59
ORD-01191,2023-03-04,South,Furniture,Bookcases,8,2047.72,673.05
ORD-01442,2023-03-04,West,Technology,Phones,8,5816.92,1752.68
ORD-00943,2023-03-05,Central,Technology,Phones,9,4234.63,1327.09
ORD-01857,2023-03-06,Central,Technology,Phones,2,1804.87,392.89
ORD-01871,2023-03-07,South,Furniture,Bookcases,9,3495.37,1212.25
ORD-00004,2023-03-08,West,Technology,Phones,6,4957.56,1110.81
ORD-01062,2023-03-08,West,Technology,Accessories,2,1572.54,414.14
ORD-00491,2023-03-09,West,Office Supplies,Art Supplies,5,152.56,73.41
ORD-00634,2023-03-09,East,Technology,Accessories,5,4858.49,1162.32
ORD-00960,2023-03-09,West,Office Supplies,Binders,7,288.58,148.18
ORD-00751,2023-03-10,West,Technology,Phones,5,4199.89,929.73
ORD-01852,2023-03-11,South,Technology,Accessories,7,2526.66,796.14
ORD-01883,2023-03-11,Central,Office Supplies,Paper,3,127.41,78.93
ORD-00223,2023-03-12,Central,Furniture,Chairs,8,2464.44,1031.24
ORD-00186,2023-03-13,East,Office Supplies,Binders,4,94.49,50.11
ORD-01633,2023-03-13,West,Furniture,Chairs,7,1865.59,688.54
ORD-00774,2023-03-14,Central,Office Supplies,Paper,7,159.86,79.58
ORD-00014,2023-03-15,West,Technology,Accessories,8,3440.57,1164.34
ORD-00231,2023-03-15,East,Furniture,Bookcases,3,1120.32,344.42
ORD-00773,2023-03-15,Central,Office Supplies,Art Supplies,9,357.52,148.31
ORD-00414,2023-03-16,West,Technology,Laptops,3,1238.04,434.1
ORD-00440,2023-03-16,East,Furniture,Bookcases,1,340.36,121.18
ORD-01100,2023-03-16,West,Technology,Laptops,6,5290.2,1673.75
ORD-01573,2023-03-16,Central,Technology,Accessories,6,5235.06,1779.62
ORD-00192,2023-03-17,West,Technology,Accessories,2,1627.62,405.65
ORD-00768,2023-03-18,South,Office Supplies,Binders,2,65.56,38.5
ORD-01099,2023-03-18,West,Technology,Laptops,9,8391.91,1983.74
ORD-01154,2023-03-18,Central,Furniture,Bookcases,7,2317.67,922.29
ORD-00245,2023-03-19,West,Technology,Phones,8,4575.62,1617.96
ORD-00749,2023-03-19,West,Technology,Accessories,2,1333.19,476.46
ORD-00937,2023-03-19,West,Technology,Laptops,9,7669.1,2322.42
ORD-01177,2023-03-19,West,Furniture,Tables,3,761.41,226.89
ORD-01649,2023-03-20,East,Technology,Laptops,3,1080.31,239.08
ORD-00428,2023-03-21,South,Technology,Accessories,9,6029.0,1872.2
ORD-00575,2023-03-22,West,Furniture,Tables,5,1072.14,481.1
ORD-01491,2023-03-22,West,Office Supplies,Art Supplies,3,91.24,50.25
ORD-01015,2023-03-23,East,Technology,Phones,6,5225.08,1122.86
ORD-01920,2023-03-23,East,Furniture,Chairs,4,1792.1,510.57
ORD-00861,2023-03-25,South,Office Supplies,Binders,7,228.14,137.9
ORD-01029,2023-03-26,Central,Office Supplies,Paper,4,137.9,62.76
ORD-01635,2023-03-26,East,Technology,Accessories,8,4933.05,1754.42
ORD-01795,2023-03-26,South,Office Supplies,Art Supplies,7,274.33,143.66
ORD-01907,2023-03-26,West,Technology,Accessories,8,4528.38,1115.2
ORD-01280,2023-03-27,South,Office Supplies,Paper,1,19.98,11.88
ORD-01372,2023-03-27,West,Furniture,Chairs,8,2556.63,784.26
ORD-01111,2023-03-28,East,Technology,Accessories,6,4190.91,1282.29
ORD-00451,2023-03-29,West,Office Supplies,Binders,5,72.14,38.63
ORD-00475,2023-03-30,West,Technology,Laptops,1,741.5,217.4
ORD-00031,2023-03-31,East,Office Supplies,Paper,9,179.84,81.21
ORD-00479,2023-03-31,East,Furniture,Chairs,2,671.62,286.78
ORD-01160,2023-03-31,West,Technology,Accessories,8,3274.71,1167.34
ORD-00127,2023-04-01,West,Technology,Accessories,2,1463.91,374.39
ORD-01064,2023-04-01,South,Technology,Accessories,6,2836.99,1004.33
ORD-00336,2023-04-03,Central,Furniture,Bookcases,5,2348.82,901.08
ORD-00442,2023-04-03,South,Office Supplies,Art Supplies,2,38.88,24.05
ORD-01674,2023-04-03,South,Furniture,Bookcases,2,714.6,240.33
ORD-00363,2023-04-04,East,Furniture,Tables,1,333.5,94.33
ORD-01033,2023-04-04,South,Technology,Phones,8,3396.42,1138.28
ORD-01534,2023-04-04,West,Technology,Accessories,4,3176.56,687.21
ORD-00533,2023-04-05,Central,Technology,Phones,7,6010.54,1830.45
ORD-01187,2023-04-05,Central,Office Supplies,Paper,9,172.37,106.6
ORD-01308,2023-04-05,South,Furniture,Chairs,8,1569.11,690.15
ORD-01370,2023-04-05,South,Technology,Phones,8,3382.22,761.76
ORD-01992,2023-04-05,East,Office Supplies,Binders,4,168.71,83.13
ORD-00398,2023-04-08,East,Technology,Phones,4,1675.32,579.8
ORD-00705,2023-04-08,Central,Technology,Accessories,3,1673.95,453.64
ORD-00852,2023-04-08,West,Office Supplies,Art Supplies,4,67.56,40.35
ORD-00005,2023-04-09,Central,Technology,Phones,9,6993.63,2161.78
ORD-01236,2023-04-09,East,Technology,Laptops,3,2194.68,468.93
ORD-01156,2023-04-10,East,Technology,Phones,4,2124.89,625.67
ORD-01504,2023-04-13,Central,Technology,Accessories,5,2881.48,633.41
ORD-01819,2023-04-13,Central,Technology,Accessories,9,5222.87,1449.1
ORD-00997,2023-04-15,South,Technology,Phones,6,5419.04,1817.9
ORD-01046,2023-04-15,Central,Technology,Accessories,4,2812.45,986.34
ORD-01138,2023-04-15,West,Office Supplies,Art Supplies,6,238.76,106.36
ORD-01599,2023-04-15,West,Furniture,Tables,3,1611.99,535.15
ORD-00166,2023-04-16,Central,Technology,Phones,4,2606.06,629.13
ORD-00304,2023-04-17,East,Technology,Laptops,1,915.14,202.29
ORD-01022,2023-04-17,Central,Office Supplies,Art Supplies,6,162.35,71.84
ORD-01445,2023-04-17,East,Office Supplies,Binders,3,121.09,57.84
ORD-00791,2023-04-18,East,Technology,Laptops,1,561.88,119.82
ORD-01414,2023-04-21,West,Technology,Accessories,9,4132.78,1271.1
ORD-01588,2023-04-21,Central,Furniture,Bookcases,5,1775.12,699.44
ORD-01946,2023-04-21,Central,Technology,Laptops,6,2118.74,502.55
ORD-00247,2023-04-22,East,Furniture,Bookcases,2,367.75,158.37
ORD-00270,2023-04-22,West,Furniture,Chairs,7,2584.95,1152.39
ORD-00470,2023-04-22,West,Technology,Phones,3,2551.8,755.63
ORD-01113,2023-04-22,East,Technology,Laptops,1,483.41,106.21
ORD-01876,2023-04-22,Central,Furniture,Bookcases,7,1517.43,582.82
ORD-00706,2023-04-23,West,Furniture,Chairs,8,4008.85,1254.38
ORD-01134,2023-04-23,Central,Technology,Accessories,1,381.76,95.25
ORD-01868,2023-04-23,South,Technology,Phones,7,3665.53,942.63
ORD-00530,2023-04-24,East,Office Supplies,Binders,1,15.32,6.45
ORD-01393,2023-04-24,Central,Technology,Laptops,8,4772.77,1431.07
ORD-01466,2023-04-24,West,Technology,Phones,8,4838.04,1150.4
ORD-01818,2023-04-24,Central,Office Supplies,Art Supplies,5,190.58,103.94
ORD-00248,2023-04-25,West,Office Supplies,Paper,8,270.87,101.8
ORD-01251,2023-04-26,East,Technology,Accessories,1,414.01,121.04
ORD-00077,2023-04-27,East,Furniture,Tables,3,1251.96,443.14
ORD-00355,2023-04-27,East,Technology,Phones,9,6735.22,1652.15
ORD-01212,2023-04-27,West,Furniture,Tables,6,1242.45,453.9
ORD-01337,2023-04-27,West,Technology,Phones,9,4405.9,1522.87
ORD-00351,2023-04-28,Central,Office Supplies,Paper,4,111.26,64.72
ORD-00045,2023-04-29,Central,Office Supplies,Paper,6,146.85,60.87
ORD-00299,2023-04-29,East,Furniture,Bookcases,3,1452.25,628.37
ORD-01382,2023-04-29,East,Furniture,Bookcases,1,502.04,168.9
ORD-00571,2023-05-01,West,Technology,Laptops,5,2064.64,665.99
ORD-00770,2023-05-01,Central,Technology,Accessories,1,887.28,247.11
ORD-01225,2023-05-01,South,Office Supplies,Art Supplies,1,40.78,19.85
ORD-00365,2023-05-02,Central,Technology,Laptops,3,2031.54,699.41
ORD-01259,2023-05-02,East,Technology,Phones,4,2039.71,663.76
ORD-01153,2023-05-03,Central,Technology,Laptops,3,2033.34,677.02
ORD-00828,2023-05-04,West,Technology,Phones,4,2448.67,717.36
ORD-00916,2023-05-04,West,Office Supplies,Art Supplies,1,16.25,8.67
ORD-01082,2023-05-05,East,Technology,Phones,5,4653.21,1542.52
ORD-01575,2023-05-05,East,Furniture,Tables,4,1331.96,514.13
ORD-01610,2023-05-06,West,Furniture,Bookcases,5,2145.78,718.96
ORD-00490,2023-05-07,West,Office Supplies,Paper,1,42.26,23.25
ORD-00501,2023-05-07,West,Technology,Laptops,6,3985.63,886.73
ORD-01360,2023-05-07,South,Office Supplies,Paper,8,231.52,133.25
ORD-00796,2023-05-08,East,Office Supplies,Art Supplies,6,180.94,66.08
ORD-01517,2023-05-08,Central,Furniture,Tables,6,2436.64,922.43
ORD-01836,2023-05-08,South,Technology,Accessories,9,8253.62,2908.13
ORD-00097,2023-05-09,East,Technology,Accessories,7,3130.58,802.35
ORD-00255,2023-05-09,West,Technology,Phones,3,1345.12,429.41
ORD-00324,2023-05-09,South,Technology,Accessories,5,1770.31,426.04
ORD-00759,2023-05-09,East,Furniture,Bookcases,8,3268.58,1103.97
ORD-00807,2023-05-09,Central,Technology,Laptops,1,505.66,120.2
ORD-00993,2023-05-09,East,Furniture,Tables,6,2251.66,854.14
ORD-01887,2023-05-09,Central,Furniture,Tables,3,940.25,372.17
ORD-00373,2023-05-10,West,Technology,Laptops,7,4578.22,1258.78
ORD-00532,2023-05-10,East,Furniture,Bookcases,5,2011.12,877.68
ORD-01152,2023-05-10,Central,Office Supplies,Paper,4,80.15,34.48
ORD-01201,2023-05-10,East,Technology,Laptops,2,1383.77,456.41
ORD-00617,2023-05-11,South,Office Supplies,Binders,9,334.26,183.79
ORD-01906,2023-05-11,Central,Furniture,Chairs,3,1002.76,357.96
ORD-01389,2023-05-12,Central,Furniture,Tables,5,2516.7,1025.9
ORD-00122,2023-05-14,East,Technology,Laptops,4,1731.42,438.62
ORD-00699,2023-05-14,South,Furniture,Bookcases,7,1643.96,536.74
ORD-00813,2023-05-14,Central,Furniture,Tables,9,4383.77,1357.8
ORD-01544,2023-05-14,Central,Technology,Laptops,2,1196.47,276.97
ORD-00742,2023-05-15,West,Technology,Accessories,8,3324.29,726.41
ORD-00848,2023-05-16,East,Office Supplies,Paper,8,166.52,73.76
ORD-00221,2023-05-17,West,Technology,Phones,6,5151.32,1602.39
ORD-00292,2023-05-17,East,Furniture,Chairs,6,2887.9,1193.68
ORD-00435,2023-05-17,Central,Office Supplies,Binders,8,276.03,154.45
ORD-01637,2023-05-17,South,Technology,Accessories,3,2243.79,753.23
ORD-01850,2023-05-17,West,Technology,Laptops,7,3211.64,1073.59
ORD-00387,2023-05-18,East,Technology,Phones,3,2421.17,543.96
ORD-01571,2023-05-18,Central,Furniture,Tables,3,1051.86,341.01
ORD-01031,2023-05-21,Central,Technology,Phones,4,3371.38,979.81
ORD-01874,2023-05-21,South,Office Supplies,Binders,5,206.37,110.89
ORD-00055,2023-05-22,Central,Furniture,Tables,7,2480.22,803.01
ORD-00528,2023-05-22,Central,Furniture,Chairs,2,466.93,132.78
ORD-00867,2023-05-22,East,Technology,Accessories,2,777.8,181.19
ORD-00047,2023-05-23,South,Furniture,Tables,9,3152.77,1205.86
ORD-00851,2023-05-23,West,Furniture,Bookcases,7,1375.83,465.58
ORD-00938,2023-05-26,West,Technology,Phones,2,1831.96,590.8
ORD-00985,2023-05-26,South,Technology,Laptops,7,2760.14,844.43
ORD-01949,2023-05-27,Central,Technology,Accessories,8,5917.47,1294.05
ORD-00169,2023-05-28,West,Office Supplies,Paper,7,288.66,167.47
ORD-00189,2023-05-28,West,Technology,Accessories,1,500.97,130.23
ORD-00188,2023-05-29,Central,Technology,Accessories,3,1235.69,316.1
ORD-01205,2023-05-29,South,Technology,Accessories,6,4525.72,1064.52
ORD-01911,2023-05-29,South,Furniture,Bookcases,6,2816.48,913.24
ORD-00710,2023-05-31,East,Technology,Phones,4,3550.07,893.82
ORD-00967,2023-05-31,Central,Technology,Laptops,5,3576.9,840.15
ORD-01036,2023-05-31,Central,Technology,Phones,6,5595.24,1355.24
ORD-01145,2023-05-31,East,Technology,Laptops,3,1175.51,360.59
ORD-01880,2023-05-31,Central,Technology,Laptops,3,1887.55,638.77
ORD-00389,2023-06-01,South,Furniture,Chairs,1,385.35,171.43
ORD-00577,2023-06-01,West,Office Supplies,Paper,1,24.99,14.45
ORD-00645,2023-06-01,Central,Office Supplies,Paper,8,177.11,91.28
ORD-01613,2023-06-01,West,Furniture,Chairs,4,1438.48,629.06
ORD-00687,2023-06-02,Central,Technology,Laptops,9,3063.52,934.52
ORD-01214,2023-06-02,South,Office Supplies,Binders,6,227.83,135.43
ORD-01244,2023-06-03,East,Furniture,Bookcases,6,2565.91,997.85
ORD-01572,2023-06-03,Central,Furniture,Chairs,2,670.81,207.75
ORD-01477,2023-06-04,Central,Technology,Phones,3,1554.36,330.43
ORD-01737,2023-06-04,West,Office Supplies,Paper,5,170.93,83.92
ORD-01577,2023-06-05,South,Technology,Laptops,2,866.83,230.62
ORD-01717,2023-06-05,East,Furniture,Chairs,2,557.89,224.93
ORD-01744,2023-06-05,East,Office Supplies,Art Supplies,8,220.91,127.11
ORD-01392,2023-06-06,West,Technology,Phones,1,505.73,109.6
ORD-00787,2023-06-07,East,Office Supplies,Binders,7,120.12,73.33
ORD-00446,2023-06-08,Central,Technology,Accessories,8,3873.42,1356.62
ORD-01317,2023-06-08,West,Furniture,Chairs,2,463.43,170.13
ORD-00568,2023-06-09,South,Office Supplies,Binders,5,80.76,33.94
ORD-00457,2023-06-10,East,Furniture,Chairs,2,943.51,298.85
ORD-01178,2023-06-10,South,Technology,Laptops,6,3815.59,945.42
ORD-01256,2023-06-10,West,Technology,Phones,1,684.5,146.89
ORD-01515,2023-06-10,Central,Office Supplies,Art Supplies,1,33.24,13.01
ORD-00730,2023-06-11,East,Technology,Phones,6,5266.1,1369.88
ORD-01449,2023-06-11,West,Technology,Phones,3,2338.94,812.97
ORD-00142,2023-06-12,West,Furniture,Bookcases,7,1320.14,484.62
ORD-00929,2023-06-13,West,Technology,Laptops,1,489.69,118.92
ORD-01403,2023-06-13,West,Office Supplies,Art Supplies,9,363.93,191.99
ORD-01912,2023-06-13,South,Furniture,Tables,7,2877.24,1209.58
ORD-00914,2023-06-14,South,Technology,Accessories,5,1762.44,451.05
ORD-00756,2023-06-15,Central,Furniture,Bookcases,7,2683.46,1161.7
ORD-01072,2023-06-15,South,Furniture,Chairs,1,466.18,161.39
ORD-01586,2023-06-15,West,Office Supplies,Art Supplies,6,246.96,90.48
ORD-01605,2023-06-15,South,Technology,Laptops,7,3442.76,1071.95
ORD-00394,2023-06-16,Central,Furniture,Tables,2,912.99,316.99
ORD-00468,2023-06-17,Central,Technology,Phones,1,477.77,102.61
ORD-00743,2023-06-17,West,Technology,Accessories,3,2361.86,553.95
ORD-00946,2023-06-17,Central,Technology,Phones,7,4615.77,1480.95
ORD-01125,2023-06-17,South,Office Supplies,Binders,3,79.77,30.29
ORD-01805,2023-06-18,East,Technology,Laptops,2,844.18,183.32
ORD-00555,2023-06-19,Central,Technology,Phones,4,2884.16,1028.29
ORD-00667,2023-06-19,South,Furniture,Bookcases,2,876.18,301.23
ORD-00085,2023-06-20,South,Furniture,Tables,3,541.22,167.67
ORD-00541,2023-06-22,West,Furniture,Tables,2,645.59,265.75
ORD-01602,2023-06-22,East,Office Supplies,Binders,4,109.97,47.85
ORD-00876,2023-06-23,South,Technology,Phones,1,399.49,135.43
ORD-00054,2023-06-24,East,Office Supplies,Binders,8,246.38,130.35
ORD-01549,2023-06-24,South,Office Supplies,Paper,6,207.2,102.67
ORD-01864,2023-06-25,West,Office Supplies,Paper,1,30.99,17.28
ORD-01958,2023-06-25,East,Technology,Accessories,9,8127.6,2606.49
ORD-00253,2023-06-26,West,Technology,Accessories,3,1736.0,470.56
ORD-00896,2023-06-26,West,Technology,Phones,3,2908.98,1004.2
ORD-00241,2023-06-27,South,Furniture,Bookcases,8,4248.35,1242.85
ORD-01006,2023-06-28,Central,Technology,Accessories,7,3648.45,1051.0
ORD-00487,2023-06-29,Central,Technology,Laptops,8,6661.1,2199.13
ORD-00670,2023-06-29,East,Technology,Laptops,1,610.65,189.78
ORD-01557,2023-06-29,East,Technology,Phones,1,725.47,214.52
ORD-01784,2023-06-30,West,Technology,Phones,3,2622.1,898.09
ORD-01943,2023-06-30,East,Technology,Accessories,3,1272.7,420.29
ORD-01555,2023-07-01,East,Office Supplies,Paper,5,127.5,55.29
ORD-00980,2023-07-02,South,Furniture,Bookcases,7,1566.0,526.04
ORD-01451,2023-07-03,South,Technology,Laptops,5,3750.44,876.22
ORD-00173,2023-07-04,South,Technology,Phones,3,2040.88,552.12
ORD-00182,2023-07-04,West,Technology,Accessories,1,380.51,117.58
ORD-00425,2023-07-04,Central,Technology,Phones,6,2555.36,577.08
ORD-00941,2023-07-04,East,Office Supplies,Art Supplies,8,142.37,58.34
ORD-01407,2023-07-04,Central,Office Supplies,Paper,8,207.6,125.53
ORD-00095,2023-07-05,East,Technology,Phones,3,2520.11,642.73
ORD-00271,2023-07-05,East,Furniture,Tables,9,3269.6,1448.84
ORD-01369,2023-07-05,Central,Technology,Phones,2,1491.61,440.16
ORD-01842,2023-07-05,West,Technology,Laptops,4,1566.28,538.37
ORD-00190,2023-07-07,South,Furniture,Bookcases,4,1758.73,797.64
ORD-00484,2023-07-07,West,Office Supplies,Binders,1,25.76,15.42
ORD-01304,2023-07-07,Central,Office Supplies,Art Supplies,1,30.42,12.21
ORD-01578,2023-07-07,West,Office Supplies,Paper,7,166.8,65.87
ORD-00148,2023-07-08,West,Technology,Phones,9,7431.92,1773.7
ORD-00287,2023-07-08,West,Office Supplies,Binders,1,18.9,7.58
ORD-01085,2023-07-08,West,Office Supplies,Art Supplies,6,229.77,91.63
ORD-01486,2023-07-08,East,Furniture,Chairs,7,1377.23,524.63
ORD-01697,2023-07-08,West,Furniture,Bookcases,8,3595.82,1188.43
ORD-00415,2023-07-09,West,Technology,Phones,7,4714.53,1280.17
ORD-01679,2023-07-09,East,Office Supplies,Art Supplies,8,341.46,181.96
ORD-00788,2023-07-10,South,Furniture,Chairs,6,1932.13,524.43
ORD-00968,2023-07-10,West,Technology,Accessories,2,1849.87,461.47
ORD-01399,2023-07-10,West,Technology,Accessories,1,426.24,91.69
ORD-01639,2023-07-11,Central,Office Supplies,Art Supplies,7,246.67,122.04
ORD-01896,2023-07-11,East,Technology,Accessories,3,1178.18,282.54
ORD-01998,2023-07-11,South,Office Supplies,Paper,7,153.7,87.44
ORD-00527,2023-07-12,South,Technology,Laptops,9,3844.01,1107.61
ORD-01226,2023-07-12,East,Furniture,Chairs,7,2893.83,866.72
ORD-01693,2023-07-12,Central,Furniture,Tables,8,3830.82,1286.6
ORD-01777,2023-07-12,South,Office Supplies,Art Supplies,5,198.26,73.3
