OrderID,Date,Region,ProductCategory,Product,Quantity,UnitPrice,UnitCost,Revenue,Profit
ORD-00892,2023-01-24,West,Electronics,Headphones,2,684.64,455.34,1369.28,458.6
ORD-01127,2023-01-24,West,Clothing,Shoes,3,98.57,47.7,295.71,152.61
ORD-01506,2023-01-24,North,Furniture,Desk,7,228.69,139.63,1600.83,623.42
ORD-01745,2023-01-24,West,Clothing,Jacket,1,106.44,50.87,106.44,55.57
ORD-01902,2023-01-24,West,Office Supplies,Printer Paper,7,30.87,12.6,216.09,127.89
ORD-01063,2023-01-25,North,Electronics,Laptop,8,653.94,418.91,5231.52,1880.24
ORD-01255,2023-01-25,East,Furniture,Office Chair,3,388.43,248.74,1165.29,419.07
ORD-01430,2023-01-25,East,Office Supplies,Stapler,1,34.75,16.76,34.75,17.99
ORD-02591,2023-01-25,South,Electronics,Laptop,6,683.03,453.02,4098.18,1380.06
ORD-00404,2023-01-26,East,Clothing,Backpack,6,117.84,56.28,707.04,369.36
ORD-00656,2023-01-26,North,Office Supplies,Notebook,3,47.68,21.5,143.04,78.54
ORD-01735,2023-01-26,West,Furniture,Bookshelf,2,375.02,234.3,750.04,281.44
ORD-00564,2023-01-27,East,Furniture,Desk,3,243.73,146.61,731.19,291.36
ORD-01180,2023-01-27,West,Furniture,Bookshelf,3,458.39,252.73,1375.17,616.98
ORD-00535,2023-01-28,North,Electronics,Laptop,2,432.33,311.28,864.66,242.1
ORD-00992,2023-01-28,South,Furniture,Bookshelf,7,284.67,180.17,1992.69,731.5
ORD-01717,2023-01-28,South,Electronics,Monitor,5,1015.48,722.16,5077.4,1466.6
ORD-01757,2023-01-28,East,Furniture,Cabinet,5,309.46,203.96,1547.3,527.5
ORD-01965,2023-01-28,West,Office Supplies,Pen Set,6,28.46,12.36,170.76,96.6
ORD-02381,2023-01-28,West,Electronics,Laptop,6,493.51,361.17,2961.06,794.04
ORD-00840,2023-01-29,North,Electronics,Headphones,4,462.14,286.29,1848.56,703.4
ORD-01874,2023-01-29,East,Clothing,T-Shirt,1,107.07,59.13,107.07,47.94
ORD-02499,2023-01-29,South,Electronics,Laptop,8,418.37,308.43,3346.96,879.52
ORD-00788,2023-01-30,South,Electronics,Monitor,5,439.13,301.03,2195.65,690.5
ORD-02257,2023-01-30,South,Clothing,Backpack,8,56.08,29.83,448.64,210.0
ORD-00224,2023-01-31,West,Electronics,Smartphone,5,867.32,540.97,4336.6,1631.75
ORD-01100,2023-01-31,North,Office Supplies,Pen Set,4,29.61,13.98,118.44,62.52
ORD-01619,2023-01-31,South,Furniture,Bookshelf,5,309.76,193.88,1548.8,579.4
ORD-02027,2023-01-31,East,Electronics,Laptop,2,1068.21,789.06,2136.42,558.3
ORD-02288,2023-01-31,West,Furniture,Desk,3,232.59,137.06,697.77,286.59
ORD-01481,2023-02-01,South,Clothing,T-Shirt,1,45.6,25.29,45.6,20.31
ORD-00851,2023-02-02,North,Furniture,Office Chair,8,421.97,246.18,3375.76,1406.32
ORD-00888,2023-02-02,East,Office Supplies,Notebook,6,44.0,20.13,264.0,143.22
ORD-01325,2023-02-02,North,Clothing,Jacket,3,96.46,45.4,289.38,153.18
ORD-00072,2023-02-03,East,Office Supplies,Pen Set,3,41.13,19.77,123.39,64.08
ORD-00411,2023-02-03,North,Electronics,Monitor,4,802.96,575.15,3211.84,911.24
ORD-01679,2023-02-03,East,Electronics,Monitor,7,416.69,304.43,2916.83,785.82
ORD-01335,2023-02-04,East,Electronics,Smartphone,2,598.72,405.63,1197.44,386.18
ORD-01678,2023-02-04,East,Electronics,Headphones,6,1099.01,712.23,6594.06,2320.68
ORD-01872,2023-02-04,West,Office Supplies,Pen Set,1,22.68,9.21,22.68,13.47
ORD-02018,2023-02-04,South,Office Supplies,Pen Set,7,20.28,9.15,141.96,77.91
ORD-01888,2023-02-06,East,Electronics,Laptop,2,442.28,297.9,884.56,288.76
ORD-02067,2023-02-06,North,Office Supplies,Notebook,5,37.87,18.34,189.35,97.65
ORD-00283,2023-02-07,North,Furniture,Office Chair,1,284.42,155.88,284.42,128.54
ORD-00689,2023-02-07,North,Electronics,Headphones,4,1131.15,726.5,4524.6,1618.6
ORD-01984,2023-02-07,East,Clothing,Shoes,3,104.95,50.07,314.85,164.64
ORD-02261,2023-02-07,East,Electronics,Headphones,8,1098.22,732.68,8785.76,2924.32
ORD-02565,2023-02-07,North,Clothing,Shoes,5,108.97,61.17,544.85,239.0
ORD-00144,2023-02-08,West,Furniture,Desk,6,520.49,287.27,3122.94,1399.32
ORD-00216,2023-02-10,East,Office Supplies,Notebook,1,28.97,14.21,28.97,14.76
ORD-00407,2023-02-10,North,Electronics,Headphones,8,779.14,570.38,6233.12,1670.08
ORD-00617,2023-02-10,West,Clothing,Backpack,5,87.05,48.62,435.25,192.15
ORD-02069,2023-02-10,East,Clothing,Backpack,4,54.77,29.99,219.08,99.12
ORD-01441,2023-02-11,East,Furniture,Cabinet,1,557.97,302.73,557.97,255.24
ORD-01503,2023-02-11,East,Clothing,Jacket,1,90.13,49.6,90.13,40.53
ORD-02405,2023-02-11,East,Electronics,Monitor,8,562.99,358.58,4503.92,1635.28
ORD-00705,2023-02-12,South,Office Supplies,Notebook,2,27.93,11.53,55.86,32.8
ORD-01034,2023-02-12,West,Office Supplies,Stapler,7,17.04,8.41,119.28,60.41
ORD-00967,2023-02-13,West,Furniture,Cabinet,1,281.05,153.81,281.05,127.24
ORD-02248,2023-02-13,West,Furniture,Bookshelf,3,272.03,147.33,816.09,374.1
ORD-00487,2023-02-15,West,Electronics,Monitor,2,647.87,396.74,1295.74,502.26
ORD-01518,2023-02-15,West,Electronics,Monitor,7,499.1,364.79,3493.7,940.17
ORD-02408,2023-02-15,West,Electronics,Smartphone,5,1161.99,868.61,5809.95,1466.9
ORD-01898,2023-02-16,West,Furniture,Desk,8,563.93,309.72,4511.44,2033.68
ORD-00556,2023-02-17,North,Electronics,Headphones,4,678.16,418.98,2712.64,1036.72
ORD-01929,2023-02-17,East,Electronics,Headphones,7,489.39,305.89,3425.73,1284.5
ORD-01963,2023-02-17,South,Clothing,Jacket,3,76.72,37.45,230.16,117.81
ORD-01768,2023-02-18,North,Electronics,Smartphone,3,445.01,279.27,1335.03,497.22
ORD-00119,2023-02-20,North,Office Supplies,Pen Set,3,29.77,13.84,89.31,47.79
ORD-01061,2023-02-21,East,Electronics,Smartphone,3,560.78,363.18,1682.34,592.8
ORD-00168,2023-02-22,West,Furniture,Office Chair,3,270.5,176.76,811.5,281.22
ORD-00714,2023-02-22,West,Office Supplies,Stapler,5,17.18,7.27,85.9,49.55
ORD-00297,2023-02-23,South,Office Supplies,Printer Paper,7,25.56,12.5,178.92,91.42
ORD-00362,2023-02-23,North,Office Supplies,Printer Paper,8,20.97,10.11,167.76,86.88
ORD-00386,2023-02-23,West,Clothing,T-Shirt,7,128.8,71.76,901.6,399.28
ORD-02200,2023-02-23,South,Electronics,Smartphone,2,933.76,653.16,1867.52,561.2
ORD-00288,2023-02-24,West,Furniture,Cabinet,7,493.75,285.51,3456.25,1457.68
ORD-01040,2023-02-24,South,Furniture,Bookshelf,2,193.98,109.28,387.96,169.4
ORD-01680,2023-02-24,West,Furniture,Desk,4,252.74,136.93,1010.96,463.24
ORD-02577,2023-02-24,West,Furniture,Office Chair,3,226.89,142.06,680.67,254.49
ORD-00994,2023-02-25,North,Electronics,Headphones,6,836.5,512.53,5019.0,1943.82
ORD-01282,2023-02-25,East,Electronics,Headphones,4,976.31,724.8,3905.24,1006.04
ORD-01352,2023-02-25,East,Electronics,Headphones,4,1061.88,754.46,4247.52,1229.68
ORD-00855,2023-02-26,East,Furniture,Office Chair,3,389.32,246.04,1167.96,429.84
ORD-01004,2023-02-26,South,Clothing,T-Shirt,1,61.48,33.5,61.48,27.98
ORD-02045,2023-02-26,East,Furniture,Office Chair,8,492.05,314.93,3936.4,1416.96
ORD-02424,2023-02-26,South,Electronics,Smartphone,1,1146.47,822.14,1146.47,324.33
ORD-02495,2023-02-26,West,Furniture,Desk,1,525.96,342.95,525.96,183.01
ORD-00433,2023-02-27,West,Office Supplies,Stapler,2,18.63,7.55,37.26,22.16
ORD-00448,2023-02-27,West,Electronics,Headphones,5,405.78,293.45,2028.9,561.65
ORD-01346,2023-02-27,West,Electronics,Headphones,3,718.57,451.89,2155.71,800.04
ORD-00064,2023-02-28,East,Clothing,Backpack,6,57.0,29.43,342.0,165.42
ORD-00501,2023-02-28,East,Furniture,Cabinet,8,505.77,277.9,4046.16,1822.96
ORD-00663,2023-02-28,North,Electronics,Monitor,2,977.22,674.51,1954.44,605.42
ORD-00292,2023-03-01,West,Furniture,Office Chair,4,527.47,296.74,2109.88,922.92
ORD-00966,2023-03-01,East,Furniture,Cabinet,5,568.12,364.64,2840.6,1017.4
ORD-01966,2023-03-01,West,Electronics,Monitor,1,981.62,658.61,981.62,323.01
ORD-01976,2023-03-01,West,Office Supplies,Notebook,4,20.38,8.53,81.52,47.4
ORD-00938,2023-03-03,East,Electronics,Laptop,8,756.79,479.99,6054.32,2214.4
ORD-01367,2023-03-03,East,Electronics,Monitor,5,960.96,643.34,4804.8,1588.1
ORD-01396,2023-03-03,South,Electronics,Laptop,8,750.99,537.53,6007.92,1707.68
ORD-02090,2023-03-03,East,Electronics,Monitor,1,872.11,627.02,872.11,245.09
ORD-02340,2023-03-03,West,Electronics,Monitor,7,656.88,440.43,4598.16,1515.15
ORD-02399,2023-03-03,West,Electronics,Laptop,6,750.65,542.05,4503.9,1251.6
ORD-01047,2023-03-05,North,Furniture,Office Chair,5,452.18,274.52,2260.9,888.3
ORD-00308,2023-03-06,East,Electronics,Monitor,6,1049.36,734.24,6296.16,1890.72
ORD-00565,2023-03-06,East,Electronics,Monitor,1,857.5,590.52,857.5,266.98
ORD-02575,2023-03-06,South,Electronics,Smartphone,5,963.08,662.25,4815.4,1504.15
ORD-00034,2023-03-07,West,Clothing,Jacket,4,98.55,53.04,394.2,182.04
ORD-01212,2023-03-07,East,Furniture,Bookshelf,3,327.89,177.26,983.67,451.89
ORD-02082,2023-03-07,North,Clothing,Jacket,6,109.73,62.63,658.38,282.6
ORD-02517,2023-03-07,East,Clothing,Shoes,7,64.0,34.32,448.0,207.76
ORD-00380,2023-03-08,East,Furniture,Cabinet,3,427.12,233.47,1281.36,580.95
ORD-01452,2023-03-08,South,Electronics,Headphones,5,1133.57,761.65,5667.85,1859.6
ORD-00418,2023-03-09,East,Office Supplies,Stapler,6,42.82,20.6,256.92,133.32
ORD-01142,2023-03-09,East,Office Supplies,Notebook,8,49.83,24.09,398.64,205.92
ORD-01168,2023-03-09,North,Electronics,Smartphone,4,1051.49,777.14,4205.96,1097.4
ORD-01912,2023-03-09,West,Clothing,Backpack,6,47.49,25.54,284.94,131.7
ORD-00637,2023-03-10,North,Office Supplies,Printer Paper,6,21.03,8.96,126.18,72.42
ORD-01360,2023-03-10,East,Electronics,Monitor,4,536.58,336.02,2146.32,802.24
ORD-02527,2023-03-10,North,Office Supplies,Printer Paper,3,25.32,11.24,75.96,42.24
ORD-00408,2023-03-11,East,Electronics,Smartphone,4,891.27,642.09,3565.08,996.72
ORD-01145,2023-03-11,North,Electronics,Laptop,1,465.54,317.98,465.54,147.56
ORD-01455,2023-03-11,North,Electronics,Headphones,6,402.57,292.63,2415.42,659.64
ORD-01631,2023-03-11,East,Furniture,Cabinet,1,370.28,223.81,370.28,146.47
ORD-01415,2023-03-12,East,Electronics,Laptop,1,734.39,486.83,734.39,247.56
ORD-00202,2023-03-13,South,Furniture,Office Chair,3,434.67,264.72,1304.01,509.85
ORD-00794,2023-03-13,East,Electronics,Monitor,3,642.9,478.78,1928.7,492.36
ORD-00825,2023-03-13,West,Furniture,Office Chair,5,372.54,224.95,1862.7,737.95
ORD-01086,2023-03-13,West,Furniture,Bookshelf,5,410.69,244.03,2053.45,833.3
ORD-02391,2023-03-13,West,Clothing,Shoes,8,81.9,46.43,655.2,283.76
ORD-00877,2023-03-14,South,Electronics,Monitor,8,485.75,352.65,3886.0,1064.8
ORD-01093,2023-03-14,West,Office Supplies,Notebook,8,47.39,22.94,379.12,195.6
ORD-01122,2023-03-14,West,Clothing,Jacket,4,102.09,49.28,408.36,211.24
ORD-01183,2023-03-14,South,Furniture,Office Chair,2,481.35,271.91,962.7,418.88
ORD-01019,2023-03-15,East,Furniture,Office Chair,2,295.36,193.64,590.72,203.44
ORD-01036,2023-03-15,East,Electronics,Headphones,5,1118.18,814.42,5590.9,1518.8
ORD-01280,2023-03-15,West,Office Supplies,Notebook,1,23.11,9.78,23.11,13.33
ORD-00720,2023-03-16,East,Clothing,Shoes,3,133.53,71.19,400.59,187.02
ORD-00865,2023-03-16,North,Office Supplies,Printer Paper,4,47.72,20.21,190.88,110.04
ORD-01195,2023-03-16,North,Electronics,Headphones,4,996.9,629.94,3987.6,1467.84
ORD-01370,2023-03-16,East,Electronics,Monitor,5,695.69,435.35,3478.45,1301.7
ORD-02456,2023-03-16,South,Clothing,T-Shirt,1,108.1,58.16,108.1,49.94
ORD-00204,2023-03-17,West,Furniture,Office Chair,7,341.93,203.93,2393.51,966.0
ORD-01525,2023-03-17,North,Clothing,Shoes,5,101.59,57.35,507.95,221.2
ORD-02451,2023-03-17,South,Furniture,Desk,3,387.27,236.17,1161.81,453.3
ORD-00389,2023-03-19,West,Electronics,Headphones,1,645.29,443.46,645.29,201.83
ORD-00742,2023-03-19,East,Office Supplies,Pen Set,1,27.8,12.87,27.8,14.93
ORD-01250,2023-03-19,East,Electronics,Monitor,1,468.18,320.07,468.18,148.11
ORD-01777,2023-03-19,East,Furniture,Desk,1,247.05,161.99,247.05,85.06
ORD-01802,2023-03-19,East,Electronics,Monitor,4,1105.08,692.99,4420.32,1648.36
ORD-00025,2023-03-21,East,Office Supplies,Stapler,8,34.92,16.42,279.36,148.0
ORD-02210,2023-03-22,East,Furniture,Office Chair,2,498.94,321.43,997.88,355.02
ORD-00038,2023-03-23,East,Electronics,Headphones,6,1077.07,787.96,6462.42,1734.66
ORD-00527,2023-03-23,North,Furniture,Desk,3,391.91,248.61,1175.73,429.9
ORD-00932,2023-03-23,West,Electronics,Smartphone,1,757.33,499.98,757.33,257.35
ORD-01473,2023-03-23,South,Clothing,Backpack,7,101.77,55.47,712.39,324.1
ORD-02070,2023-03-23,West,Furniture,Desk,6,294.2,177.24,1765.2,701.76
ORD-02117,2023-03-23,West,Electronics,Monitor,1,449.86,290.92,449.86,158.94
ORD-00122,2023-03-24,North,Electronics,Monitor,7,896.87,652.78,6278.09,1708.63
ORD-00330,2023-03-24,South,Furniture,Cabinet,7,397.2,258.51,2780.4,970.83
ORD-01424,2023-03-24,West,Clothing,Shoes,2,80.93,38.35,161.86,85.16
ORD-02531,2023-03-24,West,Clothing,T-Shirt,3,52.19,27.69,156.57,73.5
ORD-00215,2023-03-25,North,Electronics,Smartphone,8,1133.18,715.51,9065.44,3341.36
ORD-00593,2023-03-26,South,Furniture,Bookshelf,3,275.93,168.0,827.79,323.79
ORD-01204,2023-03-26,East,Electronics,Laptop,8,455.98,296.79,3647.84,1273.52
ORD-01104,2023-03-27,North,Office Supplies,Stapler,1,31.61,13.31,31.61,18.3
ORD-01866,2023-03-27,East,Electronics,Laptop,5,873.04,636.07,4365.2,1184.85
ORD-00660,2023-03-28,East,Office Supplies,Notebook,2,46.36,20.59,92.72,51.54
ORD-02420,2023-03-28,East,Electronics,Smartphone,5,1097.07,723.18,5485.35,1869.45
ORD-00306,2023-03-29,South,Furniture,Desk,2,572.25,324.52,1144.5,495.46
ORD-00611,2023-03-29,West,Electronics,Headphones,7,944.14,655.55,6608.98,2020.13
ORD-01822,2023-03-29,North,Office Supplies,Printer Paper,6,49.63,23.11,297.78,159.12
ORD-00582,2023-03-30,East,Electronics,Monitor,1,868.89,593.33,868.89,275.56
ORD-00798,2023-03-30,East,Clothing,Shoes,8,82.46,45.52,659.68,295.52
ORD-00827,2023-03-30,South,Electronics,Laptop,3,475.3,308.72,1425.9,499.74
ORD-02149,2023-03-30,North,Electronics,Headphones,3,432.37,288.59,1297.11,431.34
ORD-01302,2023-03-31,South,Furniture,Cabinet,5,393.51,244.12,1967.55,746.95
ORD-01838,2023-03-31,West,Furniture,Bookshelf,4,217.7,127.74,870.8,359.84
ORD-02034,2023-03-31,East,Furniture,Office Chair,4,434.24,235.37,1736.96,795.48
ORD-01328,2023-04-01,East,Electronics,Laptop,2,476.53,351.73,953.06,249.6
ORD-01711,2023-04-01,East,Office Supplies,Stapler,7,36.48,15.5,255.36,146.86
ORD-02081,2023-04-01,East,Clothing,Jacket,6,84.51,47.41,507.06,222.6
ORD-01583,2023-04-02,East,Office Supplies,Pen Set,8,31.28,13.44,250.24,142.72
ORD-01810,2023-04-02,West,Office Supplies,Notebook,1,45.75,22.22,45.75,23.53
ORD-00316,2023-04-04,North,Office Supplies,Printer Paper,3,19.56,8.19,58.68,34.11
ORD-00438,2023-04-04,West,Furniture,Desk,7,404.58,259.29,2832.06,1017.03
ORD-00699,2023-04-04,North,Office Supplies,Stapler,3,29.52,12.97,88.56,49.65
ORD-01418,2023-04-04,East,Clothing,Jacket,1,63.32,34.97,63.32,28.35
ORD-02197,2023-04-04,West,Electronics,Laptop,6,643.69,433.65,3862.14,1260.24
ORD-00443,2023-04-05,West,Furniture,Bookshelf,1,391.56,254.54,391.56,137.02
ORD-00812,2023-04-05,South,Furniture,Desk,5,419.17,268.45,2095.85,753.6
ORD-01232,2023-04-05,East,Furniture,Office Chair,4,207.76,136.33,831.04,285.72
ORD-01484,2023-04-05,East,Electronics,Laptop,4,1145.38,826.16,4581.52,1276.88
ORD-01879,2023-04-05,East,Electronics,Headphones,3,893.46,601.57,2680.38,875.67
ORD-00173,2023-04-06,South,Electronics,Monitor,5,798.69,531.79,3993.45,1334.5
ORD-00847,2023-04-06,West,Clothing,Backpack,3,60.74,31.35,182.22,88.17
ORD-02087,2023-04-07,North,Electronics,Smartphone,4,706.04,486.16,2824.16,879.52
ORD-00239,2023-04-08,West,Furniture,Desk,1,274.62,159.92,274.62,114.7
ORD-00743,2023-04-08,North,Clothing,Jacket,8,113.14,60.73,905.12,419.28
ORD-01033,2023-04-08,North,Electronics,Smartphone,6,572.72,388.97,3436.32,1102.5
ORD-01159,2023-04-08,North,Clothing,Jacket,7,102.96,52.22,720.72,355.18
ORD-02132,2023-04-08,West,Electronics,Headphones,4,841.84,588.11,3367.36,1014.92
ORD-00014,2023-04-09,East,Electronics,Smartphone,2,1007.82,674.65,2015.64,666.34
ORD-00146,2023-04-09,East,Furniture,Office Chair,3,211.42,122.63,634.26,266.37
ORD-00275,2023-04-09,West,Office Supplies,Pen Set,1,21.23,9.39,21.23,11.84
ORD-00436,2023-04-09,West,Electronics,Monitor,5,678.13,456.13,3390.65,1110.0
ORD-01555,2023-04-09,North,Electronics,Monitor,3,593.46,437.61,1780.38,467.55
ORD-00947,2023-04-10,East,Electronics,Monitor,3,459.57,334.53,1378.71,375.12
ORD-01681,2023-04-10,South,Electronics,Monitor,8,752.26,502.85,6018.08,1995.28
ORD-02335,2023-04-10,South,Clothing,Shoes,7,93.01,48.53,651.07,311.36
ORD-00364,2023-04-11,West,Electronics,Smartphone,4,430.39,300.02,1721.56,521.48
ORD-00571,2023-04-11,North,Clothing,Jacket,7,125.73,68.97,880.11,397.32
ORD-01087,2023-04-11,East,Furniture,Office Chair,1,509.37,311.94,509.37,197.43
ORD-01969,2023-04-11,West,Electronics,Laptop,3,424.33,260.39,1272.99,491.82
ORD-00402,2023-04-12,East,Office Supplies,Printer Paper,4,17.2,8.25,68.8,35.8
ORD-00657,2023-04-12,West,Electronics,Headphones,4,676.32,467.45,2705.28,835.48
ORD-01372,2023-04-12,West,Office Supplies,Pen Set,4,41.63,20.05,166.52,86.32
ORD-02415,2023-04-12,South,Electronics,Headphones,8,1018.24,720.68,8145.92,2380.48
ORD-01393,2023-04-13,West,Office Supplies,Notebook,7,32.54,14.43,227.78,126.77
ORD-01512,2023-04-13,East,Clothing,Backpack,7,98.41,46.91,688.87,360.5
ORD-02110,2023-04-13,South,Clothing,Jacket,1,45.96,22.39,45.96,23.57
ORD-01599,2023-04-14,East,Clothing,Shoes,7,61.08,29.6,427.56,220.36
ORD-01748,2023-04-14,North,Electronics,Headphones,3,837.71,614.24,2513.13,670.41
ORD-00314,2023-04-15,East,Electronics,Monitor,5,1145.76,752.06,5728.8,1968.5
ORD-00734,2023-04-15,East,Furniture,Cabinet,3,372.69,243.63,1118.07,387.18
ORD-01172,2023-04-15,East,Office Supplies,Printer Paper,8,45.35,21.26,362.8,192.72
ORD-02446,2023-04-16,North,Office Supplies,Stapler,2,19.07,9.28,38.14,19.58
ORD-00121,2023-04-17,South,Electronics,Smartphone,3,709.78,497.59,2129.34,636.57
ORD-00546,2023-04-17,North,Clothing,Shoes,5,88.73,44.56,443.65,220.85
ORD-00580,2023-04-17,West,Office Supplies,Printer Paper,1,22.2,10.92,22.2,11.28
ORD-02123,2023-04-17,East,Electronics,Headphones,3,667.52,482.73,2002.56,554.37
ORD-02422,2023-04-17,West,Electronics,Smartphone,6,751.68,516.33,4510.08,1412.1
ORD-00649,2023-04-18,East,Electronics,Smartphone,3,800.43,516.94,2401.29,850.47
ORD-00973,2023-04-18,West,Clothing,Shoes,1,66.12,34.77,66.12,31.35
ORD-01422,2023-04-18,West,Electronics,Headphones,5,407.58,294.97,2037.9,563.05
ORD-01665,2023-04-18,West,Clothing,Jacket,2,115.15,60.36,230.3,109.58
ORD-01901,2023-04-18,East,Office Supplies,Printer Paper,7,31.52,13.81,220.64,123.97
ORD-02250,2023-04-18,East,Office Supplies,Pen Set,6,37.81,15.79,226.86,132.12
ORD-00005,2023-04-19,West,Electronics,Headphones,8,860.91,621.38,6887.28,1916.24
ORD-00318,2023-04-19,East,Furniture,Cabinet,2,231.66,127.59,463.32,208.14
ORD-01258,2023-04-19,South,Electronics,Headphones,2,482.31,355.74,964.62,253.14
ORD-02165,2023-04-19,East,Furniture,Cabinet,8,257.9,156.17,2063.2,813.84
ORD-02284,2023-04-19,South,Clothing,T-Shirt,1,64.47,32.09,64.47,32.38
ORD-00495,2023-04-20,South,Furniture,Cabinet,6,261.6,153.19,1569.6,650.46
ORD-00503,2023-04-20,West,Furniture,Office Chair,5,509.15,323.32,2545.75,929.15
ORD-00558,2023-04-20,South,Furniture,Bookshelf,3,512.59,293.0,1537.77,658.77
ORD-01640,2023-04-20,East,Furniture,Desk,7,316.33,178.1,2214.31,967.61
ORD-01429,2023-04-21,West,Electronics,Headphones,4,726.58,474.65,2906.32,1007.72
ORD-02000,2023-04-21,North,Clothing,T-Shirt,5,64.0,32.17,320.0,159.15
ORD-01157,2023-04-22,South,Electronics,Headphones,4,1094.07,783.59,4376.28,1241.92
ORD-01414,2023-04-22,South,Office Supplies,Pen Set,2,42.2,18.69,84.4,47.02
ORD-00333,2023-04-23,East,Electronics,Smartphone,3,737.71,490.72,2213.13,740.97
ORD-00508,2023-04-23,North,Electronics,Monitor,4,558.16,404.19,2232.64,615.88
ORD-00576,2023-04-23,West,Furniture,Bookshelf,6,520.31,307.41,3121.86,1277.4
ORD-00079,2023-04-24,East,Electronics,Monitor,2,699.39,496.04,1398.78,406.7
ORD-00880,2023-04-24,East,Furniture,Desk,2,203.41,127.85,406.82,151.12
